,sequenceIndex,id
0,0,422255140796764
1,1,448025158017796
2,2,830918539097479
3,3,1167882674520632
4,4,782879634038964
5,5,1417374012480567
6,6,431707433009942
7,7,434744756099985
8,8,1216231129717135
9,9,481323750975226
10,10,2719900991511746
11,11,457892440205979
12,12,974541581061851
13,13,1530811200807576
14,14,856901842949973
15,15,448369701386747
16,16,453173907348026
17,17,985420729942977
18,18,440740128727163
19,19,478939124788307
20,20,1933014807215119
21,21,1159809525330692
22,22,1174735983725201
23,23,893655559159027
24,24,1653741035449836
25,25,374789365191255
26,26,1009204910160177
27,27,955886666220388
